Date, Time, mars_base_internal_temperature, mars_base_external_temperature, mars_base_internal_humidity, mars_base_external_illuminance, mars_base_internal_co2, mars_base_internal_oxygen
2026-04-02, 02:40:40, 21.89, 17.38, 59.51, 699.84, 0.06, 4.99
2026-04-02, 02:40:50, 26.71, 14.32, 57.17, 506.13, 0.05, 6.54
2026-04-02, 02:41:00, 20.06, 3.49, 54.22, 572.41, 0.03, 6.61
2026-04-02, 02:41:10, 28.64, 14.35, 57.52, 570.35, 0.08, 5.1
2026-04-02, 02:41:20, 29.89, 10.95, 52.85, 704.62, 0.1, 6.04
2026-04-02, 02:41:30, 29.3, 11.52, 56.6, 569.44, 0.08, 6.9
2026-04-02, 02:41:40, 20.38, 8.8, 54.06, 648.55, 0.04, 5.82
2026-04-02, 02:41:50, 23.98, 2.0, 54.57, 505.08, 0.08, 4.0
2026-04-02, 02:42:00, 25.23, 0.4, 56.16, 549.21, 0.07, 6.76
2026-04-02, 02:42:10, 25.17, 4.92, 57.15, 690.38, 0.09, 6.47
2026-04-02, 02:42:20, 28.69, 3.63, 52.46, 680.12, 0.1, 5.56
2026-04-02, 02:42:30, 26.49, 11.89, 59.88, 667.38, 0.08, 5.08
2026-04-02, 02:42:40, 18.81, 20.51, 54.14, 655.85, 0.03, 6.11
2026-04-02, 02:42:50, 27.2, 19.47, 56.09, 606.94, 0.05, 6.41
2026-04-02, 02:43:00, 18.11, 10.38, 54.01, 683.13, 0.02, 4.07
2026-04-02, 02:43:10, 29.03, 5.1, 51.07, 641.0, 0.04, 4.9
2026-04-02, 02:43:20, 19.24, 6.0, 51.18, 547.85, 0.08, 5.19
2026-04-02, 02:43:30, 19.86, 19.63, 58.19, 641.19, 0.05, 4.52
2026-04-02, 02:43:40, 23.06, 5.86, 57.3, 704.38, 0.09, 4.43
2026-04-02, 02:43:50, 19.94, 0.05, 56.85, 542.92, 0.09, 4.59
2026-04-02, 02:44:00, 20.3, 14.6, 57.05, 554.94, 0.04, 6.98
2026-04-02, 02:44:10, 27.32, 19.84, 59.92, 638.38, 0.06, 6.93
2026-04-02, 02:44:20, 28.63, 1.09, 54.05, 546.04, 0.05, 5.76
2026-04-02, 02:44:30, 28.37, 19.04, 55.37, 544.77, 0.09, 4.64
2026-04-02, 02:44:40, 29.9, 9.28, 52.79, 632.73, 0.1, 6.85
2026-04-02, 02:44:50, 28.62, 11.46, 57.98, 676.91, 0.06, 6.12
2026-04-02, 02:45:00, 21.56, 12.55, 50.08, 532.91, 0.07, 6.35
2026-04-02, 02:45:10, 28.8, 18.37, 54.58, 660.5, 0.06, 6.7
2026-04-02, 02:45:20, 24.15, 5.32, 58.25, 601.24, 0.05, 5.62
2026-04-02, 02:45:30, 23.34, 15.16, 50.55, 601.97, 0.03, 4.69
2026-04-02, 02:45:40, 19.54, 10.55, 55.17, 678.04, 0.02, 4.49
2026-04-02, 02:45:50, 26.46, 8.79, 51.9, 596.18, 0.08, 5.25
2026-04-02, 02:46:00, 18.08, 12.6, 53.19, 654.8, 0.08, 5.04
2026-04-02, 02:46:10, 29.59, 10.17, 50.02, 584.81, 0.09, 4.07
2026-04-02, 02:46:20, 27.66, 17.61, 52.39, 557.56, 0.04, 4.76
2026-04-02, 02:46:30, 26.03, 2.57, 52.46, 624.15, 0.07, 5.46
2026-04-02, 02:46:40, 26.42, 9.58, 59.96, 503.41, 0.07, 6.91
2026-04-02, 02:46:50, 25.23, 9.6, 57.52, 568.01, 0.1, 6.96
2026-04-02, 02:47:00, 20.1, 13.99, 57.98, 626.86, 0.1, 4.3
2026-04-02, 02:47:10, 20.7, 5.28, 57.39, 592.2, 0.07, 5.61
2026-04-02, 02:47:20, 18.31, 8.71, 50.24, 712.97, 0.05, 6.94
2026-04-02, 02:47:30, 20.41, 9.8, 59.58, 622.29, 0.04, 5.31
2026-04-02, 02:47:40, 19.94, 11.08, 54.52, 541.98, 0.03, 6.4
2026-04-02, 02:47:50, 18.16, 0.64, 55.34, 714.39, 0.09, 4.55
2026-04-02, 02:48:00, 29.39, 17.31, 59.1, 700.53, 0.04, 4.46
2026-04-02, 02:48:10, 21.57, 5.87, 56.99, 616.96, 0.05, 6.71
2026-04-02, 02:48:20, 24.54, 4.91, 51.28, 697.81, 0.1, 5.45
2026-04-02, 02:48:30, 22.11, 15.47, 52.97, 701.16, 0.08, 4.12
2026-04-02, 02:48:40, 22.63, 6.8, 55.18, 714.86, 0.03, 5.1
2026-04-02, 02:48:50, 29.58, 10.54, 52.45, 509.32, 0.1, 5.28
2026-04-02, 02:49:00, 22.42, 10.14, 54.22, 541.52, 0.04, 4.88
2026-04-02, 02:49:10, 25.02, 20.01, 56.98, 500.71, 0.1, 4.5
2026-04-02, 02:49:20, 27.27, 18.57, 50.73, 641.36, 0.09, 5.73
2026-04-02, 02:49:30, 22.22, 18.14, 56.36, 607.88, 0.07, 6.38
