Date, Time, mars_base_internal_temperature, mars_base_external_temperature, mars_base_internal_humidity, mars_base_external_illuminance, mars_base_internal_co2, mars_base_internal_oxygen
2026-04-02, 07:42:35, 28.42, 19.13, 54.73, 713.81, 0.06, 6.96
2026-04-02, 07:42:40, 23.0, 4.8, 57.22, 547.77, 0.09, 5.62
2026-04-02, 07:42:45, 29.2, 16.47, 57.77, 606.19, 0.06, 5.07
2026-04-02, 07:42:50, 18.26, 2.42, 59.0, 516.67, 0.04, 5.94
2026-04-02, 07:42:55, 28.29, 20.69, 54.23, 712.97, 0.07, 4.7
2026-04-02, 07:43:00, 20.09, 20.84, 54.87, 507.47, 0.08, 6.25
2026-04-02, 07:43:05, 18.3, 1.03, 55.46, 663.99, 0.09, 4.29
2026-04-02, 07:43:10, 27.82, 15.52, 51.21, 532.13, 0.06, 6.91
2026-04-02, 07:43:15, 24.3, 5.21, 54.83, 660.11, 0.1, 6.02
2026-04-02, 07:43:20, 25.55, 17.39, 56.23, 647.67, 0.08, 5.62
2026-04-02, 07:43:25, 26.65, 11.93, 55.46, 646.08, 0.03, 7.0
2026-04-02, 07:43:30, 25.88, 11.13, 54.09, 670.86, 0.07, 4.97
2026-04-02, 07:43:35, 28.44, 0.08, 50.18, 518.83, 0.06, 4.11
2026-04-02, 07:43:40, 18.35, 0.59, 59.58, 655.11, 0.04, 4.85
2026-04-02, 07:43:45, 29.24, 11.1, 53.81, 502.5, 0.04, 6.36
2026-04-02, 07:43:50, 22.59, 16.07, 50.41, 549.77, 0.09, 4.51
2026-04-02, 07:43:55, 23.57, 5.31, 52.13, 651.79, 0.03, 5.99
2026-04-02, 07:44:00, 21.34, 20.57, 50.24, 526.98, 0.08, 4.47
2026-04-02, 07:44:05, 19.94, 0.53, 50.96, 551.82, 0.08, 4.39
2026-04-02, 07:44:10, 22.72, 7.64, 57.68, 523.17, 0.07, 6.1
2026-04-02, 07:44:20, 25.65, 11.81, 51.8, 644.65, 0.04, 6.12
2026-04-02, 07:44:30, 21.57, 2.79, 59.51, 669.08, 0.02, 6.68
2026-04-02, 07:44:40, 19.23, 15.88, 53.54, 512.83, 0.04, 4.84
2026-04-02, 07:44:50, 20.28, 5.23, 57.45, 624.5, 0.02, 5.88
2026-04-02, 07:45:00, 25.0, 6.62, 54.5, 567.04, 0.09, 5.44
2026-04-02, 07:45:10, 22.81, 12.43, 54.6, 587.56, 0.05, 4.44
2026-04-02, 07:45:20, 20.06, 1.9, 56.97, 532.25, 0.03, 5.93
2026-04-02, 07:45:30, 25.34, 5.51, 55.28, 540.71, 0.06, 5.77
2026-04-02, 07:45:40, 29.73, 0.57, 56.87, 688.31, 0.07, 6.99
2026-04-02, 07:45:50, 20.44, 14.12, 50.98, 588.95, 0.06, 4.54
2026-04-02, 07:46:00, 27.09, 19.31, 52.25, 682.64, 0.05, 4.92
2026-04-02, 07:46:10, 18.92, 13.15, 55.56, 574.34, 0.08, 6.12
2026-04-02, 07:46:20, 25.08, 11.17, 57.67, 510.07, 0.06, 6.27
2026-04-02, 07:46:30, 18.24, 6.66, 50.48, 521.03, 0.04, 4.99
2026-04-02, 07:46:40, 28.91, 12.91, 58.03, 607.15, 0.08, 4.76
2026-04-02, 07:46:50, 27.5, 15.58, 54.25, 641.54, 0.06, 4.93
2026-04-02, 07:47:00, 26.94, 12.62, 59.88, 638.31, 0.09, 6.41
2026-04-02, 07:47:10, 26.86, 9.37, 55.03, 517.33, 0.03, 4.19
2026-04-02, 07:47:20, 20.44, 16.9, 59.42, 530.59, 0.03, 5.63
2026-04-02, 07:47:30, 25.47, 1.28, 50.85, 591.16, 0.04, 5.85
2026-04-02, 07:42:40, 29.32, 3.0, 53.33, 580.52, 0.06, 4.97
2026-04-02, 07:47:40, 28.84, 3.16, 58.95, 665.3, 0.02, 5.8
2026-04-02, 07:42:50, 18.78, 7.6, 55.72, 616.32, 0.03, 5.25
2026-04-02, 07:47:50, 22.28, 19.34, 58.45, 630.95, 0.05, 6.9
2026-04-02, 07:43:00, 29.45, 18.44, 58.02, 590.53, 0.09, 6.04
2026-04-02, 07:48:00, 29.21, 7.29, 59.98, 530.2, 0.1, 4.62
2026-04-02, 07:43:10, 19.67, 2.41, 52.91, 560.22, 0.08, 5.66
2026-04-02, 07:48:10, 24.21, 4.05, 52.7, 620.97, 0.07, 5.55
2026-04-02, 07:43:20, 22.64, 2.75, 53.27, 625.85, 0.1, 5.18
2026-04-02, 07:48:20, 18.85, 4.34, 50.9, 651.99, 0.09, 6.3
2026-04-02, 07:43:30, 18.12, 5.3, 54.97, 657.27, 0.07, 4.89
2026-04-02, 07:48:30, 24.21, 2.03, 59.76, 669.96, 0.02, 4.09
2026-04-02, 07:43:40, 22.42, 8.23, 59.53, 645.82, 0.02, 4.34
2026-04-02, 07:48:40, 25.41, 3.71, 58.6, 709.78, 0.06, 4.89
2026-04-02, 07:43:50, 19.61, 14.31, 50.3, 567.7, 0.1, 6.38
2026-04-02, 07:48:50, 18.08, 9.13, 51.17, 584.78, 0.07, 5.9
2026-04-02, 07:44:00, 26.97, 0.67, 55.11, 648.21, 0.03, 6.58
2026-04-02, 07:49:00, 25.46, 1.08, 55.04, 537.84, 0.03, 5.91
2026-04-02, 07:44:10, 19.27, 18.57, 50.55, 501.55, 0.06, 6.67
2026-04-02, 07:49:10, 24.62, 18.7, 59.56, 557.24, 0.1, 6.65
